리뷰작성일,이름,구매정보,사이즈평가,사이즈평가
2020.09.25 07:27,알파바운스 슬라이드 - 블랙:화이트 / BA8775,285 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요","반바지던 긴바진던 어디에 신어도 잘어울립니다
하나쯤은 꼭 있어도 될 듯"
2020.09.24 23:39,알파바운스 슬라이드 - 블랙:화이트 / BA8775,245 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 보통이에요
착화감 : 편안해요",역시 돈이 최곱니다. 슬리퍼에 이런 거금을 들인 건 처음인데 왜 비싼지 알겠네요. 디자인은 말할 것도 없고 착화감이 너어ㅓ무 편합니다. 폭신폭신 마치 알파카가 제 발을 감싸는 듯 하네요. 걸을 때마다 잠만보 배 위를 걷는 느낌입니다. 제가 이제까지 신었던 저렴 스레빠는 조선시대 짚신이었네요. 사이즈는 평소보다 5업했는데 덜렁거림 없이 편안합니다. 행복다하제~
2020.09.24 21:38,알파바운스 슬라이드 - 화이트:블랙 / FX1326,275 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 보통이에요
착화감 : 편안해요",착용감도 좋고 이번에 이벤트로 싸게 사서 좋았어요.
2020.09.24 18:45,알파바운스 슬라이드 - 화이트:블랙 / FX1326,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 편안해요",사이즈도 딱 맞고 신어본 슬리퍼 중에 제일 편합니다
2020.09.24 18:10,알파바운스 슬라이드 - 블랙:화이트 / BA8775,235 구매,"사이즈 : 커요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 넓어요
착화감 : 편안해요","두번째구매에요
슬리퍼는 이것만 신어요 ! 굽도있고 짱편합니다"
2020.09.24 16:06,알파바운스 슬라이드 - 화이트:블랙 / FX1326,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",편해서 하나 아버지 사드렸습니다 너무 편하다고 좋아하시네요
2020.09.24 16:02,알파바운스 슬라이드 - 화이트:블랙 / FX1326,255 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 보통이에요
착화감 : 편안해요",편해요 아주편합니다 사이즈 딱이에요 하나더사야겠어요
2020.09.24 11:51,알파바운스 슬라이드 - 블랙:화이트 / BA8775,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",양말 안신으면 발아플수도있습니다 주의하세염
2020.09.24 09:31,알파바운스 슬라이드 - 화이트:블랙 / FX1326,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",착화감 푹신푹신하고 너무 좋고 발등 높이 넓이 조절 가능해서 발에 꼭 맞게 착용하니 착화감 플러스되고 스타일까지 너무 예쁘네요
2020.09.23 21:42,알파바운스 슬라이드 - 옐로우:블랙 / FX1327,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 보통이에요
착화감 : 편안해요","국민 슬리퍼
싸서 구매했습니다
역시 편하네요
쿠폰도 받고 좋습니다"
